client_id,a,y,x1,x2
0,1,1,0.8714297567598659,0.30584320882861477
0,0,1,-0.7751322855177779,0.8431853200130737
0,1,0,-1.1936888877012048,-1.1353714206965508
0,1,0,-0.6087084037445994,1.5184852968358467
0,1,1,0.7384414662041626,0.9838795234088356
0,1,1,1.4310038435793118,-1.0779982588477375
0,1,0,-1.2667461358246674,0.5094133876744134
1,1,1,1.1917401619908767,-0.04221724518374157
1,0,0,0.5550623465698972,-0.07423940862239632
1,0,1,1.3034378215678775,-1.4341515274442984
1,0,1,-0.9643344528052188,1.1609604423437414
1,1,0,0.9219393006296559,-0.2671341836483843
1,1,0,-1.3077060827189877,0.15665594453800655
1,0,0,-0.07994233024054723,-0.5338399092532208
2,0,0,-0.6835227417799413,-1.0619936797168144
2,1,1,-0.9646785831854437,2.0503673149691988
2,1,1,1.3971021187521868,-0.28062170639645084
2,0,0,-0.6351156259915453,0.7607759164250831
2,1,0,-0.9571262465567308,-1.7350152191330495
2,0,0,1.0265449600128305,-0.6469837960941708
