x1,x2,s,y,client
3.7897721290197297,3.666104778507621,0,1.0,Client A
2.964126719306689,4.3263660355827245,0,1.0,Client A
4.232960315608593,4.023541854895269,1,1.0,Client A
2.7918222733093487,3.4782367623813664,1,1.0,Client A
4.014501483480767,4.499781939214152,1,1.0,Client A
4.462105001525849,4.045543646274921,1,1.0,Client A
4.723116743210545,3.011826868385639,1,1.0,Client A
1.6712626424854422,0.9264578244271658,0,-1.0,Client A
-0.31709702861101197,2.7113300504906137,0,-1.0,Client A
0.6699763357056527,0.8145880022018941,1,-1.0,Client A
1.1201227378073921,4.315516674283595,0,1.0,Client B
1.119447324434276,5.671483584657971,1,1.0,Client B
1.491463605547392,3.8310448716893624,0,1.0,Client B
3.6265695134555522,2.9706590232640657,0,-1.0,Client B
1.134270047013929,-0.09961355584419729,1,-1.0,Client B
2.855890054450521,1.7316675190903659,0,-1.0,Client B
5.027556248325272,1.5591712506338502,0,-1.0,Client B
3.347215391958949,0.6594533279358178,1,-1.0,Client B
4.822250162867754,2.1382802290416643,1,-1.0,Client B
4.1021928377981896,2.4323626565219563,0,-1.0,Client B
5.3517794352394965,2.4811828257356714,1,1.0,Client C
5.821374389745149,0.9020576534998394,1,1.0,Client C
5.754836590016557,2.117717497729151,1,1.0,Client C
5.679425320552543,1.1545162424661206,0,1.0,Client C
5.57100475610401,0.35907551326402354,0,1.0,Client C
0.5265892788774517,3.322184742773393,1,-1.0,Client C
0.4461985389594807,2.7843797909528,1,-1.0,Client C
-0.03488196633664509,1.0447272285959786,0,-1.0,Client C
1.7662696957310042,3.705405608256258,0,-1.0,Client C
1.8180982818638798,4.860589899203301,1,-1.0,Client C
