kind,round,client_id,a,y,y_signed,Delta_s,q_a0y0,q_a0y1,q_a1y0,q_a1y1,x1,x2
Ds_synthetic,0,0,0,1,1.0,0,0,2,3,3,-0.9361760452465849,0.8352493093703922
Ds_synthetic,0,0,0,1,1.0,0,0,2,3,3,-1.2095374056257728,1.258568110507269
Ds_synthetic,0,0,1,0,-1.0,0,0,2,3,3,-0.9085193452710556,0.33361945310337204
Ds_synthetic,0,0,1,0,-1.0,0,0,2,3,3,-0.8570635684378802,0.5531770377023078
Ds_synthetic,0,0,1,0,-1.0,0,0,2,3,3,-1.1495770790176931,0.4991687092970025
Ds_synthetic,0,0,1,1,1.0,0,0,2,3,3,0.8697525341019263,0.4474474779192354
Ds_synthetic,0,0,1,1,1.0,0,0,2,3,3,1.0061340477625536,-0.008734806792816796
Ds_synthetic,0,0,1,1,1.0,0,0,2,3,3,0.9114571158333236,0.5950693776326907
Ds_synthetic,0,1,0,0,-1.0,0,2,2,1,2,0.1730411491321189,-0.36289641261925315
Ds_synthetic,0,1,0,0,-1.0,0,2,2,1,2,0.10837263609012568,-0.23326354618931255
Ds_synthetic,0,1,0,1,1.0,0,2,2,1,2,0.8096147003732956,-0.21052214537204902
Ds_synthetic,0,1,0,1,1.0,0,2,2,1,2,-0.30676920676632063,-0.6715008104767111
Ds_synthetic,0,1,1,0,-1.0,0,2,2,1,2,0.1697644104086512,0.023506825567155235
Ds_synthetic,0,1,1,1,1.0,0,2,2,1,2,1.454416620168833,-0.2821726167030728
Ds_synthetic,0,1,1,1,1.0,0,2,2,1,2,1.304016392939702,-0.00014515160381840808
Ds_synthetic,0,2,0,0,-1.0,0,1,2,1,2,-0.6765617951462778,-0.440749315713126
Ds_synthetic,0,2,0,1,1.0,0,1,2,1,2,-0.36358285052069017,-0.5494975942801652
Ds_synthetic,0,2,0,1,1.0,0,1,2,1,2,-0.2691785801998433,0.7773049910378065
Ds_synthetic,0,2,1,0,-1.0,0,1,2,1,2,-1.3758015830535057,-1.1329425371660133
Ds_synthetic,0,2,1,1,1.0,0,1,2,1,2,-0.7774305698357273,0.6897194722072371
Ds_synthetic,0,2,1,1,1.0,0,1,2,1,2,0.3123085298699218,1.2264922589058371
