x1,x2,s,y,client
-0.9361760452465849,0.8352493093703922,0,1.0,Ds_c0_r0
-1.2095374056257728,1.258568110507269,0,1.0,Ds_c0_r0
-0.9085193452710556,0.33361945310337204,1,-1.0,Ds_c0_r0
-0.8570635684378802,0.5531770377023078,1,-1.0,Ds_c0_r0
-1.1495770790176931,0.4991687092970025,1,-1.0,Ds_c0_r0
0.8697525341019263,0.4474474779192354,1,1.0,Ds_c0_r0
1.0061340477625536,-0.008734806792816796,1,1.0,Ds_c0_r0
0.9114571158333236,0.5950693776326907,1,1.0,Ds_c0_r0
0.1730411491321189,-0.36289641261925315,0,-1.0,Ds_c1_r0
0.10837263609012568,-0.23326354618931255,0,-1.0,Ds_c1_r0
0.8096147003732956,-0.21052214537204902,0,1.0,Ds_c1_r0
-0.30676920676632063,-0.6715008104767111,0,1.0,Ds_c1_r0
0.1697644104086512,0.023506825567155235,1,-1.0,Ds_c1_r0
1.454416620168833,-0.2821726167030728,1,1.0,Ds_c1_r0
1.304016392939702,-0.00014515160381840808,1,1.0,Ds_c1_r0
-0.6765617951462778,-0.440749315713126,0,-1.0,Ds_c2_r0
-0.36358285052069017,-0.5494975942801652,0,1.0,Ds_c2_r0
-0.2691785801998433,0.7773049910378065,0,1.0,Ds_c2_r0
-1.3758015830535057,-1.1329425371660133,1,-1.0,Ds_c2_r0
-0.7774305698357273,0.6897194722072371,1,1.0,Ds_c2_r0
0.3123085298699218,1.2264922589058371,1,1.0,Ds_c2_r0
