x1,x2,s,y,client,source_row
4.723116743210545,3.011826868385639,1,1.0,Client_0,6
1.491463605547392,3.8310448716893615,0,1.0,Client_0,12
0.6699763357056527,0.8145880022018941,1,-1.0,Client_0,9
1.81809828186388,4.860589899203301,1,-1.0,Client_0,29
4.462105001525849,4.045543646274921,1,1.0,Client_0,5
5.821374389745149,0.9020576534998394,1,1.0,Client_0,21
0.5265892788774517,3.322184742773393,1,-1.0,Client_0,25
5.3517794352394965,2.4811828257356714,1,1.0,Client_1,20
4.1021928377981896,2.4323626565219563,0,-1.0,Client_1,19
5.57100475610401,0.3590755132640235,0,1.0,Client_1,24
1.120122737807392,4.315516674283595,0,1.0,Client_1,10
4.822250162867754,2.1382802290416643,1,-1.0,Client_1,18
0.4461985389594807,2.7843797909528,1,-1.0,Client_1,26
2.855890054450521,1.731667519090366,0,-1.0,Client_1,15
1.6712626424854422,0.9264578244271658,0,-1.0,Client_2,7
1.119447324434276,5.671483584657971,1,1.0,Client_2,11
5.754836590016557,2.117717497729151,1,1.0,Client_2,22
1.7662696957310042,3.705405608256258,0,-1.0,Client_2,28
1.134270047013929,-0.0996135558441972,1,-1.0,Client_2,14
5.027556248325272,1.5591712506338502,0,-1.0,Client_2,16
